Timestamp,Have you ever been unable to use a piece of software previously developed in your organisation because key personnel or operating systems have left/are not available?,Please tick this box to begin the survey,What best describes your organisation,Which of the following organisations usually fund your research?,What best describes your job title?,How many years have you been working as a researcher (including postgraduate training)?,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Do you feel that your research software is ready to be shared with a commercial partner?,Have you used high-performance computing (HPC) systems?,How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate *your* organisation's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal or business case?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from a central institutional pool as needed],Registration
8/28/2019 22:23:03,No,"I confirm that I am 18 or over, I conduct research / analyses within the NBIC network, and I agree to take part in this survey",UK university or other HEI,Other charitable donation,Senior scientist / manager / PI,More than 16 years,Yes,5,No,,,,,,,,,No,No (but we DID expect to write software as part of the project),Suitable,Suitable,Please keep me informed about this (I understand my email address will be retained for this purpose only and not shared within NBIC)
8/30/2019 16:15:34,Yes,"I confirm that I am 18 or over, I conduct research / analyses within the NBIC network, and I agree to take part in this survey","NBIC core institution (Edinburgh, Nottingham, Liverpool, Southampton)","BBSRC, EPSRC, MRC, NERC, NIHR",Independent (untenured) research fellow,11-15 years,Yes,5,Yes,3,No,Yes,Yes,Very confident,Not confident,Confident,3,No,No (but we DID expect to write software as part of the project),Suitable,Suitable,Please keep me informed about this (I understand my email address will be retained for this purpose only and not shared within NBIC)
09/05/2019 22:45,No,"I confirm that I am 18 or over, I conduct research / analyses within the NBIC network, and I agree to take part in this survey","NBIC core institution (Edinburgh, Nottingham, Liverpool, Southampton)","BBSRC, EPSRC, University of Nottingham cross-faculty collaborative funding (UNICAS)",Academic postdoctoral researcher / staff scientist,11-15 years,Yes,4,Yes,1,No,I'm not interested in commercialising my research software,"No, but I would like to in the future",Not heard of it,Not heard of it,Not heard of it,1,No,No (but we DID expect to write software as part of the project),Suitable,Suitable,Please keep me informed about this (I understand my email address will be retained for this purpose only and not shared within NBIC)
9/27/2019 14:27:41,No,"I confirm that I am 18 or over, I conduct research / analyses within the NBIC network, and I agree to take part in this survey",UK university or other HEI,Newton Fund,Academic postdoctoral researcher / staff scientist,7-10 years,Yes,5,No,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable,Please keep me informed about further training and advice opportunities (I understand my email address will be retained for this purpose only and not shared within NBIC)
9/27/2019 14:37:45,not yet...,"I confirm that I am 18 or over, I conduct research / analyses within the NBIC network, and I agree to take part in this survey",UK university or other HEI,"BBSRC, EPSRC, Private capital",Senior scientist / manager / PI,More than 16 years,Yes,5,Yes,3,No,No,Yes,Not confident,Not heard of it,Not heard of it,2,No,No (we did NOT expect to write software as part of the project),Perfect,Suitable,Please keep me informed about further training and advice opportunities (I understand my email address will be retained for this purpose only and not shared within NBIC)
9/27/2019 14:43:34,Yes,"I confirm that I am 18 or over, I conduct research / analyses within the NBIC network, and I agree to take part in this survey",UK university or other HEI,"BBSRC, EPSRC, NERC",Academic postdoctoral researcher / staff scientist,4-6 years,Yes,5,Yes,3,No,Yes,"No, I do not require HPC in my research",Confident,Confident,Not confident,3,No,Yes,Suitable,Suitable,"Please register me for the 1-day workshop, Please keep me informed about further training and advice opportunities (I understand my email address will be retained for this purpose only and not shared within NBIC)"
9/27/2019 14:46:13,Yes,"I confirm that I am 18 or over, I conduct research / analyses within the NBIC network, and I agree to take part in this survey","NBIC core institution (Edinburgh, Nottingham, Liverpool, Southampton)","EPSRC, STFC",Senior scientist / manager / PI,More than 16 years,Yes,5,Yes,3,No,No,Yes,Not confident,Not confident,Not confident,3,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable,Please keep me informed about further training and advice opportunities (I understand my email address will be retained for this purpose only and not shared within NBIC)
9/27/2019 14:51:02,No,"I confirm that I am 18 or over, I conduct research / analyses within the NBIC network, and I agree to take part in this survey",UK university or other HEI,BBSRC,Academic postdoctoral researcher / staff scientist,7-10 years,Yes,4,No,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable,"Please register me for the 1-day workshop, Please keep me informed about further training and advice opportunities (I understand my email address will be retained for this purpose only and not shared within NBIC)"
9/27/2019 14:51:53,Yes,"I confirm that I am 18 or over, I conduct research / analyses within the NBIC network, and I agree to take part in this survey",UK university or other HEI,"NERC, University",Academic postdoctoral researcher / staff scientist,More than 16 years,Yes,5,No,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable,Please keep me informed about further training and advice opportunities (I understand my email address will be retained for this purpose only and not shared within NBIC)
9/27/2019 15:20:07,No,"I confirm that I am 18 or over, I conduct research / analyses within the NBIC network, and I agree to take part in this survey",UK university or other HEI,"BBSRC, NERC",Independent (untenured) research fellow,11-15 years,Yes,5,No,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable,Please keep me informed about further training and advice opportunities (I understand my email address will be retained for this purpose only and not shared within NBIC)
